#Name		#ObsIDs
4U0142p61	30001023003
4U0142p61	90301010002
4U0142p61	30801028002
4U0142p61	30001023002
4U0142p61	30001023001 
SGR_0501p4516	90502326004
SGR_0501p4516 	90502326002 
1E1048d1m5937    30001024005
1E1048d1m5937	30001024007
1E1048d1m5937	90202032002
1E1048d1m5937	30001024002
1E1048d1m5937	30001024003
1E1048d1m5937	90202032001 
1E_1547d0m5408	30401008002
1E_1547d0m5408	30101035002
1E_1547d0m5408	90801309002 
PSR_J1622m4950	80202051006
PSR_J1622m4950 	80202051004
PSR_J1622m4950	80202051002 
CXOUJ163543d2m473411 	30160002002
CXO_J164710d2m455216	80201050008
CXO_J164710d2m455216	80201050004
CXO_J164710d2m455216	80201050006
CXO_J164710d2m455216	80201050002
1RXS_J170849d0m40091	30401023002
1RXSJ170849d0m400910	90502353004
1RXSJ170849d0m400910	90502353002
CXOUJ171405d7m381031	30001130002
HESS_J1713m381      	30201031002
SgrAstar	 	     30001002001
SgrAstar              30502005004
SgrA_molecular_clouds 40202001002
Arches_cluster        40101001002
SgrAstar              90501330002
SgrAstar              30502014002
SgrAstar              30001002003
SgrAstar              30002002004
SgrAstar              30302006002
SgrAstar              30001002010
SgrAstar              30002002002
SgrAstar              30502014010
SgrAstar              30502014006
SgrAstar              30302007004
SgrAstar              30001002004
gcmagnetar            80002013002
SWIFTJ174540d2m290037 90201026002
SgrAstar              30302007002
AX_J1745d6m2901       90101012002
GalSurvey_B_MOS019    40032019002
gcmagnetar            80002013008
SgrAstar              30502006002
gcmagnetar            80002013004
gcmagnetar            80002013010
SgrAstar              30001002006
SgrAstar              30502006004
SwiftJ174540d7m290015 90101022002
SgrAstar              30602020006
SgrAstar              30001002008
gcmagnetar            80002013006
gcmagnetar            80002013026
SgrAstar              30002002006
SgrAstar              30602020010
gcmagnetar            80002013012
SgrAstar              30602022002
SgrAstar              30602006002
SgrAstar              30002002008
SgrAstar              30602022004
SgrAstar              30602022008
Gal_Cen_MOS002        40010002001
Gal_Cen_MOS003        40010003001
Gal_Cen_MOS001        40010001002
Gal_Cen_MOS004        40010004001
SgrAstar              30602006006
gcmagnetar            80002013018
SgrAstar              30602006004
SgrAstar              30801024006
SgrAstar              30702013002
SgrAstar              60466001004
SgrAstar              30602020004
SgrAstar              60466001008
gcmagnetar            80002013016
SgrAstar              30602020008
SgrAstar              30302006006
SgrAstar              30801024004
SgrAstar              30602020002
SgrAstar              30602022006
SgrAstar              30702013005
SgrAstar              30702013009
SgrAstar              30502014004
SgrAstar              60466001002
SgrAstar              30502014008
SgrAstar              30702013007
SgrAstar              60466001006
SgrAstar              30302006004
SgrAstar              30702013003
SgrAstar              30801024002
SgrAstar              30502005002
SgrAstar              30002002010
SgrAstar              30602020001
SgrAstar              30002002012
SgrAstar              30001002002
gcmagnetar            80002013020
gcmagnetar            80002013024
gcmagnetar            80002013022
gcmagnetar            80002013014
SwiftJ174540d7m290015 90101022001
gcmagnetar            80002013015
SgrAstar              30801024005
SgrAstar              30801024001
SgrAstar              30702013008
SgrAstar              30602020009
SgrAstar              30602020007
SgrAstar              30801024003 
SGR_1806m20	80402320002
SGR_1806m20	30102038002
SGR_1806m20	30102038006
SGR_1806m20	30102038009
SGR_1806m20	30102038004
SGR_1806m20	30102038007
SGR_1806m20	80402320001
XTE_J1810m197	30501023002
XTE_J1810m197	30501023004
XTE_J1810m197	80202013003
XTE_J1810m197	80202013005
Swift_J1818d0m1607	80402308004
Swift_J1818d0m1607	80402308006
Swift_J1818d0m1607	80402308012
Swift_J1818d0m1607	80402308008
Swift_J1818d0m1607	80402308002
Swift_J1818d0m1607	80402308010 
HESSJ1834m087_TeV	30001045006
HESSJ1834m087_TeV	30001045002
HESSJ1834m087_TeV	30001045004
1E1841m045	30001025012
1E1841m045	30001025006
1E1841m045	30001025002
1E1841m045	30001025008
1E1841m045	30001025004
1E1841m045	30001025010
SGR_1900p14	30201013002
SGR_J1935p2154	80702311004
SGR_J1935p2154	80702311002
SGR1935p2154	90001004002
SGR_J1935p2154	80802317002
SGR_J1935p2154	80802317004
SGR_J1935p2154	90701329002
SGR1935p2154	80602313008
SGR1935p2154	80602313004
SGR1935p2154	80602313002
SGR1935p2154	80602313006
SGR_J1935p2154	90602332002
SGR_J1935p2154	90602332004
1E2259p586	30001026007
1E2259p586	30001026002
1E2259p586	30001026005
1E2259p586	30001026003
SGR_0755m2933	80102104003
SGR_0755m2933	80102104002
SGR_0755m2933	80102103002
SGR_0755m2933	90601322001
SGR_0755m2933	80102103004
KES_75        	40301004002
PSR_J1846m0258	80602315008
PSR_J1846m0258	80602315006
PSR_J1846m0258	80602315004
PSR_J1846m0258	80602315002
