+-----------------------+------------------------------+-----------------------+-----------+---------------+------------+------------+--------------------+-------------------+-------------------+----------------+------------------------+------------+---------------+-----------+---------------+--------------------------------+------------+---------+------------+--------------+-------------------------+-------------------------+-----------+
|         Name          |            Period            |         dP/dt         |     B     |     dE/dt     |    Age     | References |         NH         |       Gamma       |        kT         |      kT2       |        Flux [1]        | References |   Distance    | Reference |  Luminosity   |   Proposed Associations [2]    | References | Opt/IR? | Bands? [3] | Activity [4] |     Right Ascension     |       Declination       | Reference |
|                       |             (s)              |     (10^-11 s/s)      | (10^14 G) | (10^33 erg/s) |   (kyr)    |            |   (10^22 cm^-2)    |                   |       (keV)       |     (keV)      |  (10^-12 erg/s/cm^2)   |            |     (kpc)     |           | (10^33 erg/s) |                                |            |         |            |              |         (J2000)         |         (J2000)         |           |
+-----------------------+------------------------------+-----------------------+-----------+---------------+------------+------------+--------------------+-------------------+-------------------+----------------+------------------------+------------+---------------+-----------+---------------+--------------------------------+------------+---------+------------+--------------+-------------------------+-------------------------+-----------+
| CXOU J010043.1-721134 |  8.020392      0.000009      |   1.88      0.08      |   3.93    |     1.44      |      6.76  |   1        |  0.063 0.020 0.016 |                   | 0.30  0.02  0.02  | 0.68 0.09 0.07 |   0.14                 |   26       |  62.4 1.6 1.6 |    45     |    65         | SMC                            |   64       |  maybe  |    X       |              | 01 00 43.14     0.13    | -72 11 33.8      0.6    |    64     |
| 4U 0142+61            |  8.68869249    0.00000005    |   0.2022    0.0004    |   1.34    |     0.122     |     68.1   |   2        |  1.00  0.01  0.01  | 3.88  0.01  0.01  | 0.410 0.004 0.002 |                |  67.9                  |   27       |   3.6 0.4 0.4 |    46     |   110         |                                |            |  yes    |    HXOI    |     BG       | 01 46 22.407    0.028   | +61 45 03.19     0.20   |    82     |
| SGR 0418+5729         |  9.07838822    0.00000005    |   0.0004    0.0001    |   0.0610  |     0.000211  |  36000     |   3        |  0.115 0.006 0.006 |                   | 0.32  0.05  0.05  |                |   0.0020 0.0014 0.0010 |   3        | ~ 2           |    47     |     0.00096   |                                |            |  no     |    X       |     BT       | 04 18 33.867    0.043   | +57 32 22.91     0.35   |    47     |
| SGR 0501+4516         |  5.7620695     0.0000001     |   0.594     0.002     |   1.87    |     1.23      |     15.4   |   4        |  0.88  0.01  0.01  | 3.84  0.06  0.06  | 0.50  0.02  0.02  |                |   1.7                  |   4        | ~ 2           |    48     |     0.81      | SNR HB 9?                      |   65       |  yes    |    HXO     |     B        | 05 01 06.76     0.01    | +45 16 33.92     0.11   |    83     |
| SGR 0526-66           |  8.0544        0.0002        |   3.8       0.1       |   5.60    |     2.87      |      3.36  |   5        |  0.604 0.058 0.059 | 2.50  0.11  0.12  | 0.44  0.02  0.02  |                |   0.55                 |   28       |  53.6 1.2 1.2 |    49     |   190         | LMC, SNR N49?, SL 463          |   66, 67   |  no     |    X       |     BF       | 05 26 00.89     0.10    | -66 04 36.3      0.6    |    84     |
| 1E 1048.1-5937        |  6.457875      0.000003      |   2.25                |   3.86    |     3.30      |      4.54  |   6        |  0.97  0.01  0.01  | 3.14  0.11  0.11  | 0.56  0.01  0.01  |                |   5.1    0.1    0.1    |   29       |   9.0 1.7 1.7 |    46     |    49         | GSH 288.3-0.5-28?              |   68       |  yes    |    HXO     |     BG       | 10 50 07.14     0.08    | -59 53 21.4      0.6    |    85     |
| 1E 1547.0-5408        |  2.0721255     0.0000001     |   4.77                |   3.18    |   211         |      0.689 |   7        |  3.2   0.2   0.2   | 4.0   0.2   0.2   | 0.43  0.03  0.03  |                |   0.54                 |   30       |   4.5 0.5 0.5 |    50     |     1.3       | SNR G327.24-0.13               |   69       |  maybe  |    HXR     |     BT       | 15 50 54.12386  0.00064 | -54 18 24.1141   0.0020 |    86     |
| PSR J1622-4950        |  4.3261        0.0001        |   1.7       0.1       |   2.74    |     8.29      |      4.03  |   8        |  5.4   1.6   1.4   |                   | 0.5   0.1   0.1   |                |   0.045  0.063  0.028  |   31       | ~ 9           |    8      |     0.44      | SNR G333.9+0.0                 |   31       |  no     |    XR      |              | 16 22 44.89     0.08    | -49 50 52.7      0.8    |    31     |
