source,period(s),pdot(1e-11s/s)
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
SGR1627-41,2.59,1.9
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
1E2259+586,6.98,0.048
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
XTEJ1810-197,5.54,0.283
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
SGR1806-20,7.55,76.95
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
CXOUJ1647-4552,10.61,0.097
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
SGR0501+4516,5.76,0.594
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
1E1547-5408,2.07,4.77
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR0418+5729,9.08,0.0004
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SGR1833-0832,7.57,0.35
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1822.3-1606,8.44,0.013
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
SwiftJ1834.9-0846,2.48,0.806
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
1E1048.1-5937,6.46,2.18
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
SGR1745-2900,3.76,3.06
