#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
1;J0002+6216;0.115364;5.97e-15;*;GRS:3FGL_J0002.6+6218[aaa+15],XRS:1XSPS_;NRAD;
2;J0006+1834;0.693748;2.10e-15;*;*;*;
3;J0007+7303;0.315873;3.60e-13;*;GRS:2FGL_J0007.0+7303[naa+12],XRS:RX_J00;NRAD;
4;J0011+08;2.552870;*;*;*;*;
5;B0011+47;1.240699;5.64e-16;*;*;*;
6;J0023+0923;0.003050;1.14e-20;ELL1;GRS:3FGL_J0023.4+0923[aaa+15],OPT:[bvr+1;HE;
7;J0024-7204aa;0.001840;*;*;GC:47Tuc;*;
8;J0024-7204ab;0.003705;9.82e-21;*;GC:47Tuc;*;
9;B0021-72C;0.005757;-4.99e-20;*;GC:47Tuc,XRS:[bgh+06];*;
10;B0021-72D;0.005358;-3.42e-21;*;GC:47Tuc,XRS:[bgh+06];*;
11;B0021-72E;0.003536;9.85e-20;DD;GC:47Tuc,XRS:[bgh+06];*;
12;B0021-72F;0.002624;6.45e-20;*;GC:47Tuc,XRS:[bgh+06];*;
13;B0021-72G;0.004040;-4.22e-20;*;GC:47Tuc,XRS:[bgh+06];*;
14;B0021-72H;0.003210;-1.83e-21;DD;GC:47Tuc,XRS:[bgh+06];*;
15;B0021-72I;0.003485;-4.59e-20;ELL1;GC:47Tuc,XRS:[bgh+06];*;
16;B0021-72J;0.002101;-9.79e-21;BTX;GC:47Tuc,XRS:[bgh+06];*;
17;B0021-72L;0.004346;-1.22e-19;*;GC:47Tuc,XRS:[bgh+06];*;
18;B0021-72M;0.003677;-3.84e-20;*;GC:47Tuc,XRS:[bgh+06];*;
19;B0021-72N;0.003054;-2.19e-20;*;GC:47Tuc,XRS:[bgh+06];*;
20;J0024-7204O;0.002643;3.03e-20;BTX;GC:47Tuc,XRS:[bgh+06];*;
21;J0024-7204P;0.003643;6.64e-19;BT;GC:47Tuc;*;
22;J0024-7204Q;0.004033;3.40e-20;ELL1;GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15];*;
23;J0024-7204R;0.003480;1.48e-19;ELL1;GC:47Tuc,XRS:[bgh+06];*;
24;J0024-7204S;0.002830;-1.21e-19;ELL1;GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15];*;
25;J0024-7204T;0.007588;2.94e-19;ELL1;GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];*;
26;J0024-7204U;0.004343;9.52e-20;ELL1;GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];*;
27;J0024-7204V;0.004810;*;BTX;GC:47Tuc;*;
28;J0024-7204W;0.002352;-8.66e-20;BTX;GC:47Tuc,XRS:[bgh+06];*;
29;J0024-7204X;0.004772;1.84e-20;ELL1;GC:47Tuc;*;
30;J0024-7204Y;0.002197;-3.52e-20;ELL1;GC:47Tuc,OPT:[cpf+15];*;
31;J0024-7204Z;0.004554;-4.54e-21;*;*;*;
