
#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
1;J0002+6216;0.115364;5.97e-15;*;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;HE[wcp+18];
2;J0006+1834;0.693748;2.10e-15;*;*;*;
3;J0007+7303;0.315873;3.60e-13;*;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;NRAD[aab+22];
4;J0011+08;2.552870;*;*;*;*;
5;J0012+5431;3.025301;1.28e-16;*;*;RRAT[cwp+17];
6;B0011+47;1.240699;5.64e-16;*;*;*;
7;J0021-0909;2.314131;1.04e-15;*;*;*;
8;J0023+0923;0.003050;1.14e-20;ELL1;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;HE;
9;B0021-72C;0.005757;-4.99e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
10;B0021-72D;0.005358;-3.42e-21;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
11;B0021-72E;0.003536;9.85e-20;DD;GC:47Tuc(NGC104),XRS:[bgh+06];*;
12;B0021-72F;0.002624;6.45e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
13;B0021-72G;0.004040;-4.22e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
14;B0021-72H;0.003210;-1.83e-21;DD;GC:47Tuc(NGC104),XRS:[bgh+06];*;
15;B0021-72I;0.003485;-4.59e-20;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06];*;
16;B0021-72J;0.002101;-9.79e-21;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];*;
17;B0021-72L;0.004346;-1.22e-19;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
18;B0021-72M;0.003677;-3.84e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
19;B0021-72N;0.003054;-2.19e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
20;J0024-7204O;0.002643;3.03e-20;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];*;
21;J0024-7204P;0.003643;6.64e-19;BT;GC:47Tuc(NGC104);*;
