#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
1;J0023+0923;0.003050;1.14e-20;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;HE;
2;B0021-72E;0.003536;9.85e-20;GC:47Tuc(NGC104),XRS:[bgh+06];*;
3;B0021-72H;0.003210;-1.83e-21;GC:47Tuc(NGC104),XRS:[bgh+06];*;
4;B0021-72I;0.003485;-4.59e-20;GC:47Tuc(NGC104),XRS:[bgh+06];*;
5;B0021-72J;0.002101;-9.79e-21;GC:47Tuc(NGC104),XRS:[bgh+06];*;
6;J0024-7204O;0.002643;3.03e-20;GC:47Tuc(NGC104),XRS:[bgh+06];*;
7;J0024-7204P;0.003643;6.64e-19;GC:47Tuc(NGC104);*;
8;J0024-7204Q;0.004033;3.40e-20;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+1;*;
9;J0024-7204R;0.003480;1.48e-19;GC:47Tuc(NGC104),XRS:[bgh+06];*;
10;J0024-7204S;0.002830;-1.21e-19;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+1;*;
11;J0024-7204T;0.007588;2.94e-19;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;*;
12;J0024-7204U;0.004343;9.52e-20;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;*;
13;J0024-7204V;0.004810;*;GC:47Tuc(NGC104);*;
14;J0024-7204W;0.002352;-8.66e-20;GC:47Tuc(NGC104),XRS:[bgh+06];*;
15;J0024-7204X;0.004772;1.84e-20;GC:47Tuc(NGC104);*;
16;J0024-7204Y;0.002197;-3.52e-20;GC:47Tuc(NGC104),OPT:[cpf+15];*;
17;J0024-7204ac;0.002740;*;GC:47Tuc(NGC104);*;
18;J0024-7204ad;0.003740;*;GC:47Tuc(NGC104);*;
19;J0032+6946;0.036804;3.59e-18;*;*;
20;J0034-0534;0.001877;4.97e-21;GRS:4FGL_J0034.3-0534[aab+22];HE[aaa+10b];
21;J0045-7319;0.926276;4.46e-15;EXGAL:SMC;*;
22;J0101-6422;0.002573;5.16e-21;GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15];HE[aab+22];
23;J0102+4839;0.002964;1.14e-20;GRS:4FGL_J0102.8+4839[aab+22];HE[aab+22];
24;J0125-2327;0.003675;1.84e-20;*;*;
