#;NAME;P0;P1;ASSOC;
;name;(s);(s/s);Type;
1;CXOU J010043.1-721134;8.020392;1.88e-11;SMC;                           
2;4U 0142+61;8.68869249;0.2022e-11;;                                  
3;SGR 0418+5729;9.07838822;0.0004e-11;;                                  
4;SGR 0501+4516;5.7620695;0.594e-11;SNR HB 9?;                     
5;SGR 0526-66;8.0544;3.8e-11;LMC,SNR N49?, SL 463;         
6;1E 1048.1-5937;6.457875;2.25e-11;GSH 288.3-0.5-28?;             
7;1E 1547.0-5408;2.0721255;4.77e-11;SNR G327.24-0.13;              
8;PSR J1622-4950;4.3261;1.7e-11;SNR G333.9+0.0;                
9;SGR 1627-41;2.594578;1.9e-11;CTB 33, MC -71, SNR G337.0-0.1;
10;CXOU J164710.2-455216;10.610644;0.04e-11;Westerlund 1;                  
11;1RXS J170849.0-400910;11.00502461;1.9455e-11;;                                  
12;CXOU J171405.7-381031;3.825352;6.40e-11;SNR CTB 37B;                   
13;SGR J1745-2900;3.76363824;1.385e-11;Galactic Center;               
14;SGR 1806-20;7.54773;49.5e-11;W31, Star cluster, MC 13A;     
15;XTE J1810-197;5.5403537;0.777e-11;;                                  
16;Swift J1818.0-1607;1.363490;9e-11;;                                       
17;Swift J1822.3-1606;8.43772106;0.0021e-11;M17;                           
18;SGR 1833-0832;7.5654084;0.35e-11;;                                    
19;Swift J1834.9-0846;2.4823018;0.796e-11;SNR W41;                       
20;1E 1841-045;11.788978;4.092e-11;SNR Kes 73;                    
21;3XMM J185246.6+003317;11.55871346;0.014e-11;;                                   
22;SGR 1900+14;5.19987;9.2e-11;Star cluster;                  
23;SGR 1935+2154;3.2450650;1.43e-11;NR G57.2+0.8;                 
24;1E 2259+586;6.9790427250;0.0483695e-11;SNR CTB 109;                                                                                              
25;SGR 0755-2933;NAN;NAN;;                                                             
26;SGR 1801-23;NAN;NAN;;                                                               
27;SGR 1808-20;NAN;NAN;;                                                                
28;AX J1818.8-1559;NAN;NAN;;                                                            
29;AX J1845.0-0258;6.97127;NAN;SNR G29.6+0.1;                 
30;SGR 2013+34;NAN;NAN;W58;                                                                                                       
31;PSR J1846-0258;0.3265712883;0.7107450e-11;SNR Kes 75;                  
